Name,REPORT DATE,GENDER,Tags,D ADAPTED (%),I ADAPTED (%),S ADAPTED (%),C ADAPTED (%),WHEEL POSITION 1,D NATURAL (%),I NATURAL (%),S NATURAL (%),C NATURAL (%),WHEEL POSITION 2,URGENCY,INTERACTION,ORGANIZED WORKPLACE,ANALYSIS,COMPETITIVE,VERSATILE,PEOPLE-ORIENTED,FREQUENT CHANGE,CONSISTENT,CUSTOMER-ORIENTED,PERSISTENCE,FOLLOWING POLICY,THEORETICAL,UTILITARIAN,AESTHETIC,SOCIAL,INDIVIDUALISTIC,TRADITIONAL,RAW_THE,RAW_UTI,RAW_AES,RAW_SOC,RAW_IND,RAW_TRA,TEN_THE,TEN_UTI,TEN_AES,TEN_SOC,TEN_IND,TEN_TRA,INTELLECTUAL,RESOURCEFUL,HARMONIOUS,ALTRUISTIC,COMMANDING,STRUCTURED,INSTINCTIVE,SELFLESS,OBJECTIVE,INTENTIONAL,COLLABORATIVE,RECEPTIVE,SELF_AWARENESS,SELF_REGULATION,MOTIVATION,EMPATHY,SOCIAL_SKILLS,INTRAPERSONAL,INTERPERSONAL,EQ_TOTAL,ACCOUNTABILITY FOR OTHERS,ATTENTION TO DETAIL,ATTITUDE TOWARD OTHERS,BALANCED DECISION MAKING,CONCEPTUAL THINKING,CONCRETE ORGANIZATION,CONSISTENCY AND RELIABILITY,CONVEYING ROLE VALUE,CORRECTING OTHERS,DEVELOPING OTHERS,EMOTIONAL CONTROL,UNDERSTANDING OTHERS,ENJOYMENT OF THE JOB,EVALUATING OTHERS,EVALUATING WHAT IS SAID,FOLLOWING DIRECTIONS,FREEDOM FROM PREJUDICES,GAINING COMMITMENT,HANDLING REJECTION,HANDLING STRESS,INITIATIVE,INTEGRATIVE ABILITY,INTUITIVE DECISION MAKING,JOB ETHIC,LEADING OTHERS,LONG RANGE PLANNING,MATERIAL POSSESSIONS,MEETING STANDARDS,MONITORING OTHERS,PERSISTENCE,PERSONAL ACCOUNTABILITY,PERSONAL DRIVE,PERSONAL RELATIONSHIPS,PERSUADING OTHERS,PRACTICAL THINKING,PROACTIVE THINKING,PROBLEM SOLVING,PROJECT AND GOAL FOCUS,PROJECT SCHEDULING,QUALITY ORIENTATION,REALISTIC EXPECTATIONS,REALISTIC GOAL SETTING FOR OTHERS,REALISTIC PERSONAL GOAL SETTING,RELATING TO OTHERS,RESPECT FOR POLICIES,RESULTS ORIENTATION,ROLE AWARENESS,ROLE CONFIDENCE,SELF ASSESSMENT,SELF CONFIDENCE,INTERNAL SELF CONTROL,SELF DIRECTION,SENSE OF SELF,SELF IMPROVEMENT,SELF MANAGEMENT,SELF STARTING ABILITY,SENSE OF BELONGING,SENSE OF MISSION,SENSE OF TIMING,SENSITIVITY TO OTHERS,STATUS AND RECOGNITION,SURRENDERING CONTROL,SYSTEMS JUDGMENT,THEORETICAL PROBLEM SOLVING,UNDERSTANDING MOTIVATIONAL NEEDS,USING COMMON SENSE,EXTERNAL RELIABILITY,INTERNAL RELIABILITY,ACCOUNTABILITY FOR OTHERS,CONCEPTUAL THINKING,CONFLICT MANAGEMENT,CONTINUOUS LEARNING,CUSTOMER FOCUS,DECISION MAKING,DEVELOPING OTHERS,DIPLOMACY AND TACT,UNDERSTANDING OTHERS,FLEXIBILITY,GOAL ACHIEVEMENT,INFLUENCING OTHERS,INTERPERSONAL SKILLS,LEADING OTHERS,OBJECTIVE LISTENING,PERSONAL ACCOUNTABILITY,PLANNING AND ORGANIZING,PROBLEM SOLVING,RESILIENCY,RESULTS ORIENTATION,SELF MANAGEMENT,SELF STARTING ABILITY,TEAMWORK,UNDERSTANDING OTHERS,PRACTICAL THINKING,SYSTEMS JUDGMENT,SENSE OF SELF,ROLE AWARENESS,SELF DIRECTION,UNDERSTANDING OTHERS BIAS,PRACTICAL THINKING BIAS,SYSTEMS JUDGMENT BIAS,SENSE OF SELF BIAS,ROLE AWARENESS BIAS,SELF DIRECTION BIAS,CAPACITY FOR SOLVING PROBLEMS INVOLVING PEOPLE,CAPACITY FOR SOLVING PRACTICAL PROBLEMS,CAPACITY FOR SOLVING THEORETICAL PROBLEMS,CAPACITY FOR PROBLEM SOLVING AND DECISION MAKING IN THE OUTSIDE WORLD,INTERNAL PROBLEM SOLVING ABILITY,PROBLEM SOLVING ABILITY WITHIN ONE'S ROLES,PROBLEM SOLVING ABILITY REGARDING ONE'S FUTURE,CAPACITY FOR PROBLEM SOLVING AND DECISION MAKING WITHIN ONE'S SELF,BALANCED DECISION MAKING,EXTERNAL CONCENTRATION INDEX,INTERNAL CONCENTRATION INDEX
John,24/5/16,F,"Top performer, high risk",45,62,37,69,60,55,65,34,55,45,6.5,7,4.5,4.5,5,7,6,6.2,5,6.8,5.3,5.5,5.7,6.2,3.2,5.2,8.8,1,46,49,31,43,65,18,5.7,6.2,3.2,5.2,8.8,1,50,51,26,32,90,0,25,22,61,50,0,92,8.4,7.8,8.3,7.3,7.5,8.2,7.4,7.9,8.5,8.8,8.1,7.6,7.6,8.2,9.5,9.2,8.5,8,8.5,8.6,9.1,8,8,8.9,8.1,8,9.3,8.8,9,8.9,8.9,9.5,8,9,8.8,8,8.3,7.8,8.5,8.9,8.1,9.5,9,8.6,8.9,8.6,8.2,8.6,8.2,8.6,9.2,8.4,8.9,8.1,8.6,8.4,8.4,9.4,8.1,8.4,8.2,9.2,9.2,9,9.8,9.5,8.8,8.1,8.8,8.4,8.4,8.8,8.7,9.3,0.96,0.92,8.5,7.6,8.5,9,8.2,8.1,8,8.1,8.6,8.7,8.4,8.6,8.5,8,8,8.5,8.6,8.9,8.7,8.1,9.2,9,8.7,8.6,9,8.4,8.2,8.6,8.4,-1,-1,1,-1,1,1,8.4,10,8.2,9.4,8,8.2,8,8.4,7.6,8.9,9.6
John,10/2/16,M,"Top performer, low risk",45,38,54,73,22,63,45,54,61,41,6,5,7,6.5,7,5,5.5,5.5,6,6,7,7,6.2,6.3,3.5,1.8,7.3,4.8,49,50,33,23,56,41,6.2,6.3,3.5,1.8,7.3,4.8,46,56,19,15,74,40,36,25,61,81,6,42,7.4,7.3,8.7,7.2,6.7,7.8,7,7.5,8.1,7.1,8.1,6,6,5.2,7.1,7,6.9,8.2,6.3,7.6,7.3,5.6,6.9,6.7,7.1,8.1,5.4,6,7.6,5.1,5.1,7.1,8.2,6.8,7,7,5.4,8.7,7,7.9,8.6,6.6,5.2,6.4,7.1,5.9,5.9,7.6,5.7,6.9,6.3,8,6.7,6.4,6.8,7.7,6.7,7.2,7,8.4,6.4,7.4,6.8,7.6,5.5,7.4,6,8.6,6,7.3,7.2,7.7,6.7,4,0.76,0.84,8.1,6,7.5,7.7,7.2,6.8,8.2,6.9,7.6,6.4,6.8,7.3,6.9,8.2,6.9,7,6.1,7.1,7.2,6.4,6.8,7.6,7.4,7.6,5.2,7.2,6.4,6.8,8.4,1,-1,-1,-1,1,-1,8,6.2,7.4,5.8,7,7.2,8,6.4,6,4.6,7.8
John,14/8/16,M,"Top performer, moderate risk",62,56,37,66,56,63,45,56,55,42,6,5,6,5,7,5,5.5,5.8,5.8,6.5,6.7,6.8,7.2,7,5.2,4.5,4.3,1.8,55,54,43,39,38,23,7.2,7,5.2,4.5,4.3,1.8,62,65,40,38,39,6,25,19,39,42,44,81,7.2,8.7,8,7,7.3,8,7.1,7.6,5.3,7.1,5.5,6.6,8.4,8.8,6,6.4,7.5,6.8,7.8,6,5.5,6.8,7,9.5,5.5,5.3,8.2,5.6,6,4.8,6.2,6,6.5,8.4,7,6.8,7.3,6.6,7.3,7.5,5.5,7.3,8.6,8.2,7.1,8.2,7.4,6.5,8.3,7.7,7.7,6.7,9.5,8.2,6,6.5,6.3,6.3,6.5,7,7.4,8.4,7.2,6,6.8,6.2,6.8,5.5,7.3,8,9,7.7,8,4.2,0.85,0.81,5.3,8.4,6.7,7.8,6.2,7.3,6.8,6,6,6.9,7.7,6.6,6.5,6.5,7,7.3,8.5,7.1,6.9,8.2,7.2,6,6.8,6,8.6,9,7.4,6,7,-1,0,1,-1,-1,1,6.4,8,10,7.2,7.8,6.6,7.6,6.2,6.6,3.2,6
John,1/11/15,F,"Low performer, high risk",84,78,32,6,12,86,82,54,7,44,7,9,1,2,10,7,8,8.2,3.8,5.2,3.7,4,8.5,6.8,2,5.7,5.8,1.2,63,53,24,46,47,19,8.5,6.8,2,5.7,5.8,1.2,83,62,11,44,43,6,6,18,75,29,36,86,9.2,8,9.3,7.5,8.2,8.8,7.8,8.4,7.3,7.4,6.9,7.6,5.6,6,6.8,7.3,5.8,6.4,7,7.4,6.8,6.6,5.8,5.2,6.9,6.8,9,5.5,6.8,3.9,5.8,7.3,6.4,7.2,7,6.6,7.1,8.5,6.6,8,6.9,7.8,7.8,7,6.8,6.5,6,8.2,6.5,6.8,7.5,8.2,5.2,6.5,6.6,8.9,8.7,7.9,8.5,8,9,9,7.5,6.8,7.2,7.5,6.7,6.9,7.2,6.6,5.2,7.8,6.9,3.8,0.73,0.86,7.3,5.6,6.5,8.3,6.7,7.5,6.4,7.3,7.4,5.8,7.2,7,7.1,6.4,5.8,6.6,6.7,6.8,8.1,6.5,7.5,6.8,7.2,7.4,7.8,5.2,9,6.6,8,-1,-1,0,0,0,0,7.4,8,6,5.6,10,6.8,7.4,7,7.6,3.9,5.7
John,26/5/16,F,"Low performer, low risk",32,92,64,14,15,41,92,66,8,15,4,9,1,2,5,7,8.5,7.2,4.8,6,3.7,5,3.3,5.8,7.3,2.5,7.5,3.5,32,47,56,27,57,33,3.3,5.8,7.3,2.5,7.5,3.5,17,49,67,18,75,25,60,32,18,68,6,67,8,7.5,7.5,7.7,8.5,7.6,8.1,7.8,7.4,8.3,8.6,7.7,8,8,7.1,7.7,9.5,8.3,8.7,8.6,6.9,8.3,8.5,7.9,8.6,7.4,7.6,7.7,7.1,9.3,8.9,7.1,8.6,8.7,8,7.9,8.1,7.9,7.4,8.3,7.6,8.4,8.6,8.3,8.8,8.3,7.1,7.7,8.5,9,7.9,7.5,8.4,7.8,7.4,7.9,7.4,7.4,7.9,7.8,8.4,7.4,7.9,7.1,7.5,7.2,7,8.1,8,8.1,8.4,9.1,8.7,9.6,0.96,0.9,7.4,8,8.8,8,8.6,8.2,8.3,8.3,8.6,8.7,8,7.9,8.1,8.6,8.5,7.4,8.3,8.8,7.5,7.8,7.9,7.1,7.8,8.6,8.6,8.4,8.4,7.4,7.8,0,-1,0,1,-1,1,8.4,10,10,9.8,8.2,7.8,7.8,8,7.7,9.3,9.3
John,15/2/16,M,"Low performer, moderate risk",72,65,22,56,28,88,63,12,37,11,9,7,3.5,4,10,8,6,8.2,4,5,4,3.8,7.8,8.3,1.8,0.5,5,6.5,59,62,23,15,42,51,7.8,8.3,1.8,0.5,5,6.5,78,82,6,0,33,51,6,6,81,96,33,29,6.6,4.5,6.2,4.3,4.5,5.7,4.4,5.2,6.9,7.6,6.3,6.3,7.9,8.9,6.4,7.9,7.6,6.8,7.3,6.8,7.5,7.1,7.1,8.9,6.3,6.4,6,6.7,6.9,7.1,6.8,6.4,6.4,7.1,6.8,6.9,8.6,6.1,7.4,6.3,6.3,6.9,8.4,7.9,7.1,7.9,7.9,7.1,7.9,8.1,6.9,6.5,8.9,8.4,7,6.9,6.1,6.7,6.7,6.8,6.2,7.2,7.4,6.9,8.7,6.4,8.2,6.3,7.7,8.1,8.4,8.9,7.9,6.3,0.88,0.81,6.9,7.9,7,6.6,6.7,7.5,6.8,6.5,6.8,7.7,7.3,7.4,6.8,6.4,7.1,7.4,8,7.1,6.3,8.4,7.4,6.9,7.4,6.8,8.4,8.4,6.2,7,6.8,-1,1,1,-1,1,-1,7,8.2,8,7.4,7,7.8,7.2,6.2,6.3,6,8.2
John,15/2/16,M,,17,63,74,73,36,17,64,76,61,33,2,7,5.5,6,2,5,8,4.2,7.5,8.5,7,8,8.7,3.8,6.7,2.8,4.5,3.5,64,35,52,29,39,33,8.7,3.8,6.7,2.8,4.5,3.5,89,18,58,19,35,31,0,57,25,67,49,53,6,6,6.5,6.7,6.7,6.2,6.7,6.4,5.5,9,9,6.4,8.6,9.1,4.7,7.4,9,7.1,8.9,9,5.1,9.1,8.5,9.5,8.5,5.5,6.2,5.5,5.2,10,6.3,4.7,6.9,7.5,9,6,9.1,4.5,6.5,5.3,8.5,7.5,9.2,7.7,7.4,7.7,7.4,6.5,8.6,9.1,7,7.3,9.5,7.7,5.6,4.5,3.8,4.8,4.8,4.8,5.6,6.6,6.5,5.2,6.9,4.6,6.9,8.5,7.4,6.9,9,9,9.1,9.8,0.98,0.56,5.5,8.6,8.3,5.7,8.7,7.1,7.1,8,9,8.7,6.7,7.3,8.4,6.9,8.5,6.5,8.1,7.4,5.3,7.7,6.5,5.2,7.4,9,9.2,9,5.6,5.6,4.8,-1,0,1,-1,-1,1,10,10,10,10,6,6.6,5.8,2.6,6.4,10,8.2
John,19/4/15,F,High risk,56,92,22,24,14,68,93,22,16,14,7.5,9,1.5,2.5,7,9,7.5,8.8,3.2,4.8,2.7,3,5.2,6.8,4.8,5.5,7,0.7,43,53,41,45,54,16,5.2,6.8,4.8,5.5,7,0.7,39,61,39,47,64,0,38,26,40,33,18,94,7.5,5,7.9,7.9,5.9,6.8,7,6.8,5.9,7.9,7.5,6.4,6.9,7.5,5.9,6.9,7.8,7,7.9,8,5.3,7.4,7.3,8.1,7.5,5.9,8.3,7.3,5.9,8.9,7.3,5.9,7.1,8,7.6,6.3,7.7,7.5,6.8,7.5,7.5,7.9,8.4,8.7,7.9,7.7,6.3,7.1,7.5,8.4,7.6,7.8,8.1,7.2,5.8,6.6,6.3,6.3,6.5,7,7.6,8.6,7.1,5.9,6.6,6.1,6.1,7.5,7.1,7.3,7.6,8.7,8.2,8.2,0.92,0.81,5.9,6.9,7.7,7.9,7.6,7.2,7,7.3,8,8.1,7.5,7,7.6,7.1,7.3,6.8,8.1,7.9,7.2,7.2,7.1,5.9,7.3,8,8.4,7.6,7.6,5.8,7,-1,-1,1,-1,-1,1,8,10,8,8.8,7.8,6.4,7.4,5.8,6.4,8.9,5.7
John,15/2/16,M,,41,58,56,67,54,41,62,58,61,47,5,7,5.5,6,5,6,6.5,5.5,6.2,7,6.3,7,1.8,9,4.3,2.3,7.8,4.7,23,66,38,26,59,40,1.8,9,4.3,2.3,7.8,4.7,0,92,42,8,78,31,85,0,38,79,6,43,9.6,9.3,9.3,8.8,9.3,9.4,9,9.3,7.6,9.2,9.6,8.4,8.9,9.4,6.9,8.6,9.5,8.5,9.4,9.6,7.7,10,9.5,9.9,9.6,7.6,8.2,7.9,6.9,10,9,6.9,9.6,8.5,9,7.6,9.5,7.3,8.1,7.1,9.6,8.6,9.4,8.5,8.3,8.5,8.5,8.1,9.9,9.5,8.6,9.2,9.9,8.5,8.2,7.7,8.1,7.4,7.7,6.6,8.8,8.8,8.1,6.9,8.3,6.6,8.3,9.6,8.8,8,9.4,9.4,9.7,9.8,0.99,0.89,7.6,8.9,9.1,7.7,9.6,8.6,8.5,9.2,9.6,9.2,8.2,8.6,9.4,9.6,9.5,8.1,8.8,8.3,7.5,8.5,8.1,6.9,8.8,9.6,9.4,9.4,8.8,8.2,6.6,0,0,1,0,-1,1,10,10,10,10,8.4,8.2,7.2,8,8.4,10,6
John,13/8/16,M,Low risk,72,22,22,83,24,78,12,36,81,24,8,2,10,10,8,4.5,3,4.5,7,3,8.3,7.2,8.8,3,4,5.5,6.2,2.5,65,30,36,45,49,27,8.8,3,4,5.5,6.2,2.5,90,21,21,47,51,19,0,67,58,33,22,69,7.4,7.7,8,6.3,5.6,7.7,6,7,8.1,8,8.8,8.2,7.9,8,8.2,8.5,9.2,7.9,8.6,8.8,8.4,9.1,8.2,7.6,8.8,8.1,7.6,8.3,7.7,8.4,8.3,8.2,8.7,8.1,7.6,7.7,8.6,7.6,7.7,7.7,9.3,8.6,8.4,7.7,8.3,7.7,8.1,7.4,8,8.7,8.4,7.9,7.6,7.7,8.2,7.2,6.8,8,7.3,7.2,7,8,7.9,7.7,8.3,8,8.3,8.8,8.3,7.4,7.6,8.9,8.7,7.8,0.94,0.87,8.1,7.9,8.8,7.8,8.6,8,7.9,8.6,8.8,8.2,7.8,8.4,9,8.7,8.2,7.7,7.9,8.3,7.6,7.7,7.9,7.7,8.1,8.8,8.4,7.6,7,8.2,7.2,0,0,0,-1,0,1,10,10,8,9.4,7.4,8,7.6,7.2,8.2,7.8,8.6
